Desa,URL,lonngitude,latitude,Kecamatan,Kabupaten/Kota,Provinsi
CIKADUT,cikadut.desa.id,107.674217,-6.888838,Cimenyan,Bandung,Jawa Barat
SINDANGLAYA,sindanglaya.desa.id,107.683376,-6.893634,Cimenyan,Bandung,Jawa Barat
MEKARMANIK,mekarmanik.desa.id,107.69598,-6.867503,Cimenyan,Bandung,Jawa Barat
CIMENYAN,cimenyan.desa.id,107.675552,-6.863832,Cimenyan,Bandung,Jawa Barat
MEKARSALUYU,mekarsaluyu.desa.id,107.651054,-6.871759,Cimenyan,Bandung,Jawa Barat
CIBURIAL,ciburial.desa.id,107.648698,-6.850098,Cimenyan,Bandung,Jawa Barat
Kampung Belakang,kampungbelakang.desa.id,96.1241508,4.1358177,Johan Pahlawan,Aceh Barat,Aceh
Geulumpang Payong,geulumpangpayong.desa.id,,,Blangpidie,Aceh Barat Daya,Aceh
Gudang,gudang.desa.id,,,Blangpidie,Aceh Barat Daya,Aceh
Kuta Bahagia,kutabahagia.desa.id,,,Blangpidie,Aceh Barat Daya,Aceh
